@VIRTUESFLAWS
	MYTHIC_CHARACTERISTIC_QUICKNESS, 5, 5
	POOR_CHARACTERISTIC_INTELLIGENCE, -1, 5
	POOR_CHARACTERISTIC_PERCEPTION, -1, 5
	POOR_CHARACTERISTIC_STRENGTH, -1, 5
	POOR_CHARACTERISTIC_STAMINA, -1, 5
	POOR_CHARACTERISTIC_PRESENCE, -1, 5
	POOR_CHARACTERISTIC_COMMUNICATION, -1, 5
	POOR_CHARACTERISTIC_DEXTERITY, -1, 5
	POOR_CHARACTERISTIC_QUICKNESS, -1, 5
	FEEBLE_CHARACTERISTIC_INTELLIGENCE, -4, 5
	FEEBLE_CHARACTERISTIC_PERCEPTION, -4, 5
	FEEBLE_CHARACTERISTIC_STRENGTH, -4, 5
	FEEBLE_CHARACTERISTIC_STAMINA, -4, 5
	FEEBLE_CHARACTERISTIC_PRESENCE, -4, 5
	FEEBLE_CHARACTERISTIC_COMMUNCATION, -4, 5
	FEEBLE_CHARACTERISTIC_DEXTERITY, -4, 5
	FEEBLE_CHARACTERISTIC_QUICKNESS, -4, 5
	PATHETIC_CHARACTERISTIC_INTELLIGENCE, -5, 5
	PATHETIC_CHARACTERISTIC_PERCEPTION, -5, 5
	PATHETIC_CHARACTERISTIC_STRENGTH, -5, 5
	PATHETIC_CHARACTERISTIC_STAMINA, -5, 5
	PATHETIC_CHARACTERISTIC_PRESENCE, -5, 5
	PATHETIC_CHARACTERISTIC_COMMUNICATION, -5, 5
	PATHETIC_CHARACTERISTIC_DEXTERITY, -5, 5
	PATHETIC_CHARACTERISTIC_QUICKNESS, -5, 5
@END
