@STRINGS
		"INCREDIBLE_CHARACTERISTIC_INTELLIGENCE" = "INCREDIBLE_CHARACTERISTIC_INTELLIGENCE"
		"INCREDIBLE_CHARACTERISTIC_PERCEPTION" = "INCREDIBLE_CHARACTERISTIC_PERCEPTION"
		"INCREDIBLE_CHARACTERISTIC_STRENGTH" = "INCREDIBLE_CHARACTERISTIC_STRENGTH"
		"INCREDIBLE_CHARACTERISTIC_STAMINA" = "INCREDIBLE_CHARACTERISTIC_STAMINA"
		"INCREDIBLE_CHARACTERISTIC_PRESENCE" = "INCREDIBLE_CHARACTERISTIC_PRESENCE"
		"INCREDIBLE_CHARACTERISTIC_COMMUNICATION" = "INCREDIBLE_CHARACTERISTIC_COMMUNICATION"
		"INCREDIBLE_CHARACTERISTIC_DEXTERITY" = "INCREDIBLE_CHARACTERISTIC_DEXTERITY"
		"INCREDIBLE_CHARACTERISTIC_QUICKNESS" = "INCREDIBLE_CHARACTERISTIC_QUICKNESS"
		"MYTHIC_CHARACTERISTIC_INTELLIGENCE" = "MYTHIC_CHARACTERISTIC_INTELLIGENCE"
		"MYTHIC_CHARACTERISTIC_PERCEPTION" = "MYTHIC_CHARACTERISTIC_PERCEPTION"
		"MYTHIC_CHARACTERISTIC_STRENGTH" = "MYTHIC_CHARACTERISTIC_STRENGTH"
		"MYTHIC_CHARACTERISTIC_STAMINA" = "MYTHIC_CHARACTERISTIC_STAMINA"
		"MYTHIC_CHARACTERISTIC_PRESENCE" = "MYTHIC_CHARACTERISTIC_PRESENCE"
		"MYTHIC_CHARACTERISTIC_COMMUNICATION" = "MYTHIC_CHARACTERISTIC_COMMUNICATION"
		"MYTHIC_CHARACTERISTIC_DEXTERITY" = "MYTHIC_CHARACTERISTIC_DEXTERITY"
		"MYTHIC_CHARACTERISTIC_QUICKNESS" = "MYTHIC_CHARACTERISTIC_QUICKNESS"
		"POOR_CHARACTERISTIC_INTELLIGENCE" = "POOR_CHARACTERISTIC_INTELLIGENCE"
		"POOR_CHARACTERISTIC_PERCEPTION" = "POOR_CHARACTERISTIC_PERCEPTION"
		"POOR_CHARACTERISTIC_STRENGTH" = "POOR_CHARACTERISTIC_STRENGTH"
		"POOR_CHARACTERISTIC_STAMINA" = "POOR_CHARACTERISTIC_STAMINA"
		"POOR_CHARACTERISTIC_PRESENCE" = "POOR_CHARACTERISTIC_PRESENCE"
		"POOR_CHARACTERISTIC_COMMUNICATION" = "POOR_CHARACTERISTIC_COMMUNICATION"
		"POOR_CHARACTERISTIC_DEXTERITY" = "POOR_CHARACTERISTIC_DEXTERITY"
		"POOR_CHARACTERISTIC_QUICKNESS" = "POOR_CHARACTERISTIC_QUICKNESS"
		"FEEBLE_CHARACTERISTIC_INTELLIGENCE" = "FEEBLE_CHARACTERISTIC_INTELLIGENCE"
		"FEEBLE_CHARACTERISTIC_PERCEPTION" = "FEEBLE_CHARACTERISTIC_PERCEPTION"
		"FEEBLE_CHARACTERISTIC_STRENGTH" = "FEEBLE_CHARACTERISTIC_STRENGTH"
		"FEEBLE_CHARACTERISTIC_STAMINA" = "FEEBLE_CHARACTERISTIC_STAMINA"
		"FEEBLE_CHARACTERISTIC_PRESENCE" = "FEEBLE_CHARACTERISTIC_PRESENCE"
		"FEEBLE_CHARACTERISTIC_COMMUNCATION" = "FEEBLE_CHARACTERISTIC_COMMUNCATION"
		"FEEBLE_CHARACTERISTIC_DEXTERITY" = "FEEBLE_CHARACTERISTIC_DEXTERITY"
		"FEEBLE_CHARACTERISTIC_QUICKNESS" = "FEEBLE_CHARACTERISTIC_QUICKNESS"
		"PATHETIC_CHARACTERISTIC_INTELLIGENCE" = "PATHETIC_CHARACTERISTIC_INTELLIGENCE"
		"PATHETIC_CHARACTERISTIC_PERCEPTION" = "PATHETIC_CHARACTERISTIC_PERCEPTION"
		"PATHETIC_CHARACTERISTIC_STRENGTH" = "PATHETIC_CHARACTERISTIC_STRENGTH"
		"PATHETIC_CHARACTERISTIC_STAMINA" = "PATHETIC_CHARACTERISTIC_STAMINA"
		"PATHETIC_CHARACTERISTIC_PRESENCE" = "PATHETIC_CHARACTERISTIC_PRESENCE"
		"PATHETIC_CHARACTERISTIC_COMMUNICATION" = "PATHETIC_CHARACTERISTIC_COMMUNICATION"
		"PATHETIC_CHARACTERISTIC_DEXTERITY" = "PATHETIC_CHARACTERISTIC_DEXTERITY"
		"PATHETIC_CHARACTERISTIC_QUICKNESS" = "PATHETIC_CHARACTERISTIC_QUICKNESS"
	@END
@END
